Subject Code,Subject Title,Subject Group Code,Component Code,For Every (Week),Start Week,End Week,Day of Week,Start Time,End Time,Venue,Teaching Staff,Remark
ABCT1102,GENERAL BIOLOGY,"2001, 2002, 2003, 2009, 2115",LEC001,1,3,15,Wed,8:30,10:20,N002,"HO Chi Fong Susan, LEUNG Yun Chung",
ABCT1102,GENERAL BIOLOGY,"2001, 2002, 2003, 2009, 2115",TUT001,1,3,15,Mon,15:30,16:20,N002,"HO Chi Fong Susan, Iris L K Wong, LEUNG Yun Chung",
ABCT1103,GENERAL LABORATORY TECHNIQUES AND SAFETY,"2001, 2003",LAB001,1,3,15,Thu,8:30,12:20,"Y1118, Y1120, Y1315","ALSTON LEE, GENG, Ping, Ga-lai LAW, HO Chi Fong Susan, Kong, Hang-kin, YIN, haidi",
ABCT1103,GENERAL LABORATORY TECHNIQUES AND SAFETY,"2001, 2003",LAB001,1,3,15,Thu,14:30,18:20,"Y1118, Y1120, Y1315","ALSTON LEE, GENG, Ping, Ga-lai LAW, HO Chi Fong Susan, Kong, Hang-kin, YIN, haidi",
ABCT1103,GENERAL LABORATORY TECHNIQUES AND SAFETY,"2001, 2003",LEC001,1,3,15,Wed,15:30,17:20,Z211,"Ga-lai LAW, HO Chi Fong Susan",
ABCT1103,GENERAL LABORATORY TECHNIQUES AND SAFETY,"2002, 2009",LAB001,1,3,15,Thu,8:30,12:20,"Y1118, Y1120, Y1315","ALSTON LEE, GENG, Ping, Ga-lai LAW, HO Chi Fong Susan, Kong, Hang-kin, YIN, haidi",
ABCT1103,GENERAL LABORATORY TECHNIQUES AND SAFETY,"2002, 2009",LAB001,1,3,15,Thu,14:30,18:20,"Y1118, Y1120, Y1315","ALSTON LEE, GENG, Ping, Ga-lai LAW, HO Chi Fong Susan, Kong, Hang-kin, YIN, haidi",
ABCT1103,GENERAL LABORATORY TECHNIQUES AND SAFETY,"2002, 2009",LEC001,1,3,15,Wed,15:30,17:20,Z211,"Ga-lai LAW, HO Chi Fong Susan",
ABCT1314,CHEMISTRY AND SUSTAINABLE DEVELOPMENT,2114,LTL001,1,3,15,Wed,15:30,18:20,W208,"FANG, James, HUANG, Bolong, Wesley Chan",
ABCT1741,GENERAL CHEMISTRY I,"2001, 2002, 2003, 2009, 2112, 2113, 2115",LEC001,1,3,15,Wed,13:30,15:20,ST111#,Ga-lai LAW,
ABCT1741,GENERAL CHEMISTRY I,"2001, 2002, 2003, 2009, 2112, 2113, 2115",TUT001,1,3,15,Mon,14:30,15:20,N003,Yanjuan Gu,
ABCT1741,GENERAL CHEMISTRY I,"2001, 2002, 2003, 2009, 2112, 2113, 2115",TUT002,1,3,15,Mon,14:30,15:20,N002,"GENG, Ping",
ABCT1D03,BIOTECHNOLOGY AND HUMAN HEALTH,2001,LTL001,1,3,15,Wed,8:30,11:20,"PQ304, Y719","CHEUNG, Chingmei, KO, Ben",
ABCT1D04,INTRODUCTORY LIFE SCIENCE,2001,LTL001,1,3,15,Tue,8:30,11:20,TU101,"CHEUNG, Chingmei, HO Chi Fong Susan, Iris L K Wong",
ABCT1D06,NUTRITION AND HEALTHY LIVING,2001,LEC001,1,3,15,Wed,10:30,12:20,R602,"LI, christine SY, WONG Man Sau",
ABCT1D06,NUTRITION AND HEALTHY LIVING,2001,TUT001,1,3,15,Thu,11:30,12:20,W208,"LI, christine SY, WONG Man Sau",
